203.121.165.16#6#5#C&C#TH##15.0,100.0#2
78.92.163.211#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.212#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.213#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.214#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.215#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.216#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.217#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.218#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.219#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.220#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.221#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.222#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.223#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.224#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.225#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.226#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.232#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.233#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.234#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.235#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.236#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.237#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.238#2#2#Scanning Host###32.0616989136,118.777801514#11
78.92.163.239#2#2#Scanning Host###32.0616989136,118.777801514#11
46.180.7.231#6#6#C&C;Malware Domain#RU#Kemerovo#55.3333015442,86.0832977295#2;6
58.177.86.10#3#2#Scanning Host#HK#Central District#22.2833003998,114.150001526#11
199.246.2.105#6#5#C&C;Malware IP#CA#Kingston#44.220199585,-76.5848999023#2;7
104.28.27.123#6#4#C&C###44.220199585,-76.5848999023#2
203.158.166.19#3#2#Scanning Host#TH#Pathum Thani#14.0135002136,100.530502319#11
71.6.165.51#2#2#Scanning Host#US#San Diego#32.8073005676,-117.132400513#11
209.126.229.33#3#2#Scanning Host#US#San Diego#32.8073005676,-117.132400513#11
87.106.142.246#3#2#Scanning Host;Malicious Host#DE##51.0,9.0#11;3
111.74.238.15#2#2#Scanning Host#CN#Nanchang#28.5499992371,115.933296204#11
125.206.248.58#3#2#Scanning Host#JP##35.6899986267,139.690002441#11
192.151.147.210#3#2#Scanning Host#US#Kansas City#39.1472015381,-94.5735015869#11
109.63.72.103#3#2#Scanning Host#BH##26.0,50.5499992371#11
119.147.137.94#4#3#Malicious Host;Scanning Host#CN#Guangzhou#23.1166992188,113.25#3;11
110.78.174.218#3#2#Scanning Host#TH#Bangkok#13.7539997101,100.501403809#11
110.77.153.176#3#2#Scanning Host#TH#Bangkok#13.7539997101,100.501403809#11
187.208.89.206#3#2#Scanning Host#MX##19.4300003052,-99.1299972534#11
95.173.166.236#3#2#Scanning Host#TR##41.0135993958,28.9549999237#11
123.159.204.164#3#2#Scanning Host#CN#Hangzhou#30.2936000824,120.161399841#11
121.202.49.210#3#2#Scanning Host#HK#Central District#22.2833003998,114.150001526#11
80.14.122.19#3#2#Scanning Host#FR##48.8600006104,2.34999990463#11
109.161.163.156#3#2#Scanning Host#BH##26.0,50.5499992371#11
210.209.144.177#3#2#Scanning Host#TW#Taichung#24.1432991028,120.681396484#11
109.235.50.139#4#3#Malicious Host;Scanning Host#NL##52.3666992188,4.90000009537#3;11
94.92.86.57#3#2#Scanning Host#IT##42.8333015442,12.8332996368#11
109.235.50.190#3#2#Scanning Host#NL##52.3666992188,4.90000009537#11
80.56.95.211#4#4#Malicious Host;Scanning Host#NL##52.3666992188,4.90000009537#3;11
192.158.15.118#3#2#Scanning Host###52.3666992188,4.90000009537#11
142.4.38.61#2#2#Scanning Host#US#Los Angeles#34.0530014038,-118.264198303#11
173.201.191.73#4#3#Malicious Host;Scanning Host###34.0530014038,-118.264198303#3;11
189.51.118.242#3#2#Scanning Host###34.0530014038,-118.264198303#11
79.168.81.100#3#2#Scanning Host;Malicious Host###34.0530014038,-118.264198303#11;3
103.228.182.138#3#2#Scanning Host;Malicious Host###34.0530014038,-118.264198303#11;3
24.103.180.85#3#2#Scanning Host###34.0530014038,-118.264198303#11
118.103.16.42#3#2#Scanning Host###34.0530014038,-118.264198303#11
185.35.62.231#2#2#Scanning Host###34.0530014038,-118.264198303#11
222.186.21.77#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
91.224.132.30#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.31#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.32#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.35#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.42#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.43#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.44#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.45#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.109#2#2#Scanning Host###32.0616989136,118.777801514#11
91.224.132.110#2#2#Scanning Host###32.0616989136,118.777801514#11
222.186.21.0#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.21.3#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.15.21#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
71.6.135.140#2#2#Scanning Host#US#San Diego#32.8073005676,-117.132400513#11
58.218.205.68#3#2#Scanning Host;Malicious Host###32.8073005676,-117.132400513#11;3
78.189.137.195#2#2#Scanning Host###32.8073005676,-117.132400513#11
185.94.111.4#2#2#Scanning Host###32.8073005676,-117.132400513#11
185.94.111.5#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.83#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.84#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.85#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.86#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.87#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.88#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.89#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.90#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.91#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.92#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.93#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.94#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.95#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.96#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.97#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.98#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.99#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.100#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.101#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.102#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.103#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.104#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.105#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.106#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.107#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.108#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.109#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.110#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.111#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.112#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.113#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.114#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.115#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.116#2#2#Scanning Host###32.8073005676,-117.132400513#11
85.25.246.117#2#2#Scanning Host###32.8073005676,-117.132400513#11
207.38.65.192#4#2#Malicious Host###32.8073005676,-117.132400513#3
122.224.6.2#2#2#Scanning Host###32.8073005676,-117.132400513#11
78.189.47.49#2#2#Scanning Host###32.8073005676,-117.132400513#11
78.189.47.50#2#2#Scanning Host###32.8073005676,-117.132400513#11
78.189.47.51#2#2#Scanning Host###32.8073005676,-117.132400513#11
78.189.47.52#2#2#Scanning Host###32.8073005676,-117.132400513#11
